,demo_arrow_correct,demo_arrow_rt,demo_demo_accuracy,demo_RT_overall_mean,demo_RT_incorrect_mean,demo_RT_correct_mean,encoding_arrow_mean_rt,encoding_arrow_accuracy,testing_Test_overall_accuracy,testing_RT_overall_mean,testing_RT_incorrect_mean,testing_RT_correct_mean,testing_layer_1_rt,testing_layer_1_accuracy,testing_layer_2_rt,testing_layer_2_accuracy,testing_layer_3_rt,testing_layer_3_accuracy,testing_longest_response_strike,demo_demo_accuracy,demo_arrow_correct,encoding_arrow_accuracy,testing_longest_response_strike,not_too_slow,not_too_Fast,sufficient_test_acc,WorkerId
A19NX9CQGX6XI8,0.0,,0.6666666666666666,1.6826833335000002,2.5285999995,1.2597250005,,0.0,0.48333333333333334,1.0457016667166668,0.9680935484838709,1.1286620689655174,1.106215,0.5,1.0102450003000003,0.55,1.0206449998499998,0.4,4.0,True,False,False,True,True,True,False,A19NX9CQGX6XI8
A1PHDT66U6IK4Q,1.0,0.6992,0.8333333333333334,3.2718666666666665,3.1779,3.2906600000000004,0.5784,1.0,0.85,3.2735833333333337,5.791611111111111,2.829225490196079,3.33583,0.9,2.957965,0.85,3.5269549999999996,0.8,4.0,True,True,True,True,True,True,True,A1PHDT66U6IK4Q
A6GDXK2BWJTVH,0.0,,0.5,1.2687666666666666,1.8288666666666666,0.7086666666666667,0.31345,0.2,0.6166666666666667,0.6640250000000001,0.590604347826087,0.7096648648648649,0.6646999999999998,0.65,0.6271699999999999,0.65,0.700205,0.55,1.0,True,False,False,True,True,True,True,A6GDXK2BWJTVH
A3DFUI6OKBNNGI,0.0,,0.5,2.885616666666667,1.8385666666666667,3.9326666666666665,2.00426,1.0,0.6,1.5978616666666665,1.5635875000000006,1.620711111111111,1.743275,0.7,1.3747250000000002,0.7,1.6755849999999994,0.4,14.0,True,False,True,True,True,False,False,A3DFUI6OKBNNGI
A38L8T6E70LVYE,1.0,2.6635,0.6666666666666666,2.2742333333333336,1.30045,2.7611250000000003,2.13015,0.4,0.6833333333333333,1.2566366666666666,1.1912052631578947,1.2869585365853657,1.39582,0.8,1.0419850000000004,0.7,1.3321049999999999,0.55,18.0,True,True,False,False,True,False,True,A38L8T6E70LVYE
A3SSIUMI7ONK5W,0.0,,0.16666666666666666,1.2221833333333334,1.2995,0.8356,,0.0,0.5666666666666667,0.69796,0.6741076923076922,0.7162,0.7877349999999999,0.6,0.63014,0.65,0.676005,0.45,1.0,False,False,False,True,True,False,False,A3SSIUMI7ONK5W
A3Q9X8CBPHFRTZ,0.0,,0.6666666666666666,5.131716666666667,2.0599000005,6.66762499975,,0.0,0.5,1.8639033898813555,1.8784000000333334,2.1215000000666664,1.84945000005,0.4,2.06759,0.6,1.6647105264210524,0.5,5.0,True,False,False,True,True,True,False,A3Q9X8CBPHFRTZ
AMPR904VJJFZY,1.0,0.5569,0.6666666666666666,1.7731333333333332,1.62295,1.848225,0.7086399999999999,1.0,0.55,1.1157533333333334,1.121662962962963,1.110918181818182,1.198445,0.65,1.022245,0.5,1.12657,0.5,4.0,True,True,True,True,True,True,False,AMPR904VJJFZY
A2PD1J75MLX61W,1.0,1.285,0.8333333333333334,3.0535,3.045,3.0552,1.1545999999999998,1.0,0.7166666666666667,2.4652033898305086,2.648764705882353,2.568441860465116,2.433842105263158,0.8,2.2045,0.75,2.7557,0.6,6.0,True,True,True,True,True,True,True,A2PD1J75MLX61W
A12NDIK7C4TFPC,0.0,,0.8333333333333334,12.147933333333333,3.0312,13.971279999999998,,0.0,0.6333333333333333,2.469794,8.851459090909092,3.9863921052631572,2.5317000000000007,0.6,2.211216666666667,0.65,2.722657142857142,0.65,4.0,True,False,False,True,False,True,True,A12NDIK7C4TFPC
A26X269P2OTJOD,0.0,,0.3333333333333333,5.832416666666667,7.0448,3.4076500000000003,,0.0,0.48333333333333334,4.234198245614035,4.426880645161289,4.918703448275863,3.8396549999999996,0.55,4.116266666666665,0.35,4.761231578947367,0.55,59.0,False,False,False,False,False,True,False,A26X269P2OTJOD
A46X6HHZUZRRG,0.0,,1.0,3.50215,,3.50215,1.8360800000000002,1.0,0.9333333333333333,2.5203457627118646,4.028824999999999,2.599382142857143,2.1070473684210524,0.85,2.469115,1.0,2.9642100000000005,0.95,4.0,True,False,True,True,True,True,True,A46X6HHZUZRRG
A161M17XH251WL,1.0,0.1921,1.0,1.7904333335,,1.7904333335,2.04669999975,0.8,0.5,1.5095099999833335,1.5168299999666661,1.5021900000000001,1.6619100000500002,0.55,1.3726699999,0.6,1.4939500000000001,0.35,6.0,True,True,True,True,True,True,False,A161M17XH251WL
A3RZ9OTCS0IWFI,0.0,,0.3333333333333333,8.805816666666667,10.027925,6.3616,2.247725,0.6,0.5333333333333333,3.0238915254237293,3.3645571428571435,2.9607750000000004,3.20624,0.45,2.741285,0.65,3.129426315789473,0.5,59.0,False,False,False,False,True,True,False,A3RZ9OTCS0IWFI
A12NBGVI9QN3DQ,0.0,,0.6666666666666666,6.2371333333333325,12.737449999999999,2.986975,1.807,1.0,0.7166666666666667,2.1306345454545457,1.8966470588235296,3.603381395348836,2.1005526315789473,0.8,2.076635294117647,0.6,2.209031578947368,0.75,3.0,True,False,True,True,False,True,True,A12NBGVI9QN3DQ
A10JXOU89D5RXR,1.0,0.691,0.6666666666666666,1.4669833333333333,1.8267000000000002,1.287125,0.43994,1.0,0.6833333333333333,1.4514200000000002,1.5255,1.4170902439024387,1.390645,0.7,1.42172,0.7,1.541895,0.65,5.0,True,True,True,True,True,True,True,A10JXOU89D5RXR
A2B9V70J9P8BH8,1.0,1.1912,0.8333333333333334,1.9086166666666669,1.9255,1.9052400000000003,1.62866,1.0,0.6,2.2195699999833334,2.2248874999583332,2.216025,2.49957000005,0.6,2.1376999999,0.6,2.0214399999999997,0.6,6.0,True,True,True,True,True,True,False,A2B9V70J9P8BH8
AX9LZ0N55O19E,1.0,1.4251,0.16666666666666666,0.7660999999999999,0.8152999999999999,0.5201,0.77058,1.0,0.6333333333333333,1.2346416666666669,1.3612818181818183,1.1613236842105263,1.2646249999999999,0.8,1.15082,0.55,1.2884799999999998,0.55,3.0,False,True,True,True,True,True,True,AX9LZ0N55O19E
A1QUBLZCONL4QD,1.0,0.6506,0.16666666666666666,1.8461833333333333,1.3348600000000002,4.4028,1.140275,0.8,0.5333333333333333,0.5331333333333333,0.5593071428571429,0.5102312499999999,0.627755,0.55,0.45092499999999996,0.55,0.52072,0.5,2.0,False,True,True,True,True,True,False,A1QUBLZCONL4QD
AZD5EFRI6AB7X,1.0,1.671,0.0,1.8406666666666667,1.8406666666666667,,1.0957799998,0.4,0.6166666666666667,1.8490716668666665,1.8050391306086955,1.8764432434594598,1.9258300001000002,0.45,1.73464500025,0.65,1.8867400002499999,0.75,6.0,False,True,False,True,True,True,True,AZD5EFRI6AB7X
